claim_id,policy_id,customer_id,claim_date_key,claim_type,claim_status,claim_amount,incurred_date,settled_date
86,1448,2420,20241028,Windscreen,Paid,7032.77,2024-10-28,2024-11-03
87,3270,462,20230112,Theft,Approved,385.65,2023-01-12,2023-02-17
88,2855,2130,20211221,Water Damage,Paid,17849.45,2021-12-21,2022-01-04
89,3979,570,20210810,Windscreen,Rejected,7040.38,2021-08-10,
90,2119,2020,20240130,Fire,Paid,555.9,2024-01-30,2024-03-10
91,539,2857,20240415,Fire,Open,6992.19,2024-04-15,
92,3202,1690,20220407,Theft,Approved,3149.57,2022-04-07,2022-05-15
93,3412,94,20250530,Collision,Paid,4867.03,2025-05-30,2025-06-03
94,2515,1585,20220301,Windscreen,Paid,5588.27,2022-03-01,2022-03-18
95,3455,2325,20210619,Windscreen,Approved,5392.7,2021-06-19,2021-07-03
96,2219,1511,20261229,Theft,Approved,907.87,2026-12-29,2027-01-08
97,2347,2572,20240111,Fire,Rejected,3086.4,2024-01-11,
98,1920,1075,20231226,Fire,Paid,5885.11,2023-12-26,2024-01-10
99,117,6,20250706,Fire,Approved,10740.83,2025-07-06,2025-08-07
100,491,1771,20260109,Theft,Rejected,7368.19,2026-01-09,
101,144,1834,20210525,Theft,Paid,1631.13,2021-05-25,2021-06-29
102,2850,2584,20211111,Theft,Open,23819.15,2021-11-11,
103,1404,2867,20240118,Windscreen,Paid,3124.84,2024-01-18,2024-01-22
104,2283,2653,20260220,Windscreen,Paid,7057.97,2026-02-20,2026-03-20
105,4078,1833,20221127,Windscreen,Paid,6427.97,2022-11-27,2022-12-24
106,1115,2818,20250410,Theft,Rejected,5872.69,2025-04-10,
107,1843,1812,20220808,Theft,Paid,19575.52,2022-08-08,2022-09-15
108,3390,2665,20250617,Theft,Rejected,6387.88,2025-06-17,
109,1018,718,20260906,Fire,Approved,7036.61,2026-09-06,2026-10-14
110,351,141,20220923,Collision,Approved,3319.35,2022-09-23,2022-10-02
111,1298,330,20260210,Theft,Rejected,4335.84,2026-02-10,
112,726,449,20220910,Collision,Paid,2649.28,2022-09-10,2022-09-25
113,4177,2782,20250709,Storm Damage,Open,2714.98,2025-07-09,
114,3623,2793,20240217,Collision,Rejected,3570.92,2024-02-17,
115,2837,242,20230310,Storm Damage,Rejected,593.86,2023-03-10,
116,3911,1015,20250712,Theft,Paid,7189.55,2025-07-12,2025-07-31
117,3605,1689,20230426,Windscreen,Rejected,612.96,2023-04-26,
118,836,1421,20250829,Fire,Paid,4646.97,2025-08-29,2025-09-01
119,4003,2319,20260115,Fire,Approved,5926.66,2026-01-15,2026-02-15
120,2419,2338,20241220,Theft,Paid,14704.6,2024-12-20,2025-01-08
121,3621,1275,20230201,Collision,Open,5981.04,2023-02-01,
122,4021,2811,20220804,Flight Delay,Paid,1592.0,2022-08-04,2022-08-01
123,1420,2999,20270128,Fire,Paid,7749.09,2027-01-28,2027-02-19
124,499,141,20211024,Fire,Approved,4006.1,2021-10-24,2021-10-19
125,1014,1551,20210919,Theft,Paid,17498.52,2021-09-19,2021-09-26
126,1918,1884,20260422,Water Damage,Approved,14849.63,2026-04-22,2026-05-05
127,3666,498,20241222,Fire,Paid,15769.55,2024-12-22,2025-02-03
128,3862,1127,20261103,Windscreen,Approved,5650.4,2026-11-03,2026-11-06
129,31,810,20220309,Collision,Approved,6289.44,2022-03-09,2022-03-26
130,2292,128,20241227,Windscreen,Rejected,3873.39,2024-12-27,
131,1876,766,20230102,Windscreen,Paid,5304.88,2023-01-02,2023-01-11
132,987,1804,20230108,Windscreen,Paid,1280.97,2023-01-08,2023-02-12
133,541,1200,20211225,Flight Delay,Rejected,2473.18,2021-12-25,
134,1504,62,20261116,Theft,Paid,6273.19,2026-11-16,2026-12-10
135,4238,1188,20250903,Fire,Paid,4535.33,2025-09-03,2025-09-30
136,1441,313,20241005,Collision,Paid,3147.71,2024-10-05,2024-11-05
137,2328,2018,20250704,Collision,Paid,7667.52,2025-07-04,2025-07-14
138,3155,1726,20230327,Theft,Paid,2623.55,2023-03-27,2023-04-22
139,1629,362,20260506,Fire,Paid,2546.27,2026-05-06,2026-06-11
140,4368,1759,20240213,Water Damage,Paid,6931.09,2024-02-13,2024-03-27
141,4326,806,20251123,Fire,Paid,3195.59,2025-11-23,2025-12-01
142,1126,244,20250722,Theft,Paid,5610.29,2025-07-22,2025-08-29
143,2233,2015,20251214,Windscreen,Approved,797.19,2025-12-14,2025-12-21
144,1346,1596,20260516,Fire,Open,20194.47,2026-05-16,
145,1276,1901,20220112,Fire,Open,2214.01,2022-01-12,
146,166,338,20250517,Storm Damage,Rejected,14281.3,2025-05-17,
147,2734,1656,20210807,Theft,Approved,1672.79,2021-08-07,2021-08-27
148,2258,2051,20220530,Theft,Paid,2208.91,2022-05-30,2022-06-06
149,234,1272,20250830,Flight Delay,Approved,2261.12,2025-08-30,2025-09-18
150,1247,1159,20220514,Medical,Paid,1774.76,2022-05-14,2022-06-17
151,4081,684,20251005,Fire,Approved,2299.96,2025-10-05,2025-10-31
152,1067,1551,20210515,Theft,Approved,6971.62,2021-05-15,2021-05-28
153,654,2398,20241105,Theft,Approved,3212.13,2024-11-05,2024-11-11
154,2197,2073,20270101,Theft,Approved,10052.34,2027-01-01,2027-02-15
155,4434,50,20220505,Storm Damage,Approved,19411.33,2022-05-05,2022-05-08
156,1082,784,20220531,Theft,Paid,5666.16,2022-05-31,2022-06-11
157,3015,737,20220724,Collision,Approved,4168.43,2022-07-24,2022-08-24
158,3415,280,20260124,Windscreen,Approved,6088.26,2026-01-24,2026-02-09
159,1058,920,20210826,Windscreen,Paid,7018.23,2021-08-26,2021-09-26
160,3264,2150,20240501,Medical,Paid,2080.2,2024-05-01,2024-06-14
161,1647,1892,20260830,Theft,Open,9826.17,2026-08-30,
162,2832,1071,20231006,Theft,Approved,7070.78,2023-10-06,2023-10-17
163,2838,1646,20260711,Theft,Paid,3475.21,2026-07-11,2026-08-16
164,2405,8,20221119,Windscreen,Paid,1048.58,2022-11-19,2022-12-09
165,410,1388,20240515,Fire,Rejected,4875.84,2024-05-15,
166,3741,1365,20211202,Baggage Loss,Paid,741.59,2021-12-02,2021-12-10
167,1431,2010,20221118,Collision,Approved,6724.71,2022-11-18,2022-12-16
168,835,1693,20230123,Water Damage,Rejected,6340.81,2023-01-23,
169,185,183,20251225,Fire,Paid,17096.05,2025-12-25,2025-12-29
170,2650,1774,20231225,Fire,Paid,5175.34,2023-12-25,2023-12-28
171,3039,1148,20220308,Theft,Approved,10635.05,2022-03-08,2022-04-20
172,76,785,20260505,Water Damage,Paid,3858.49,2026-05-05,2026-06-16
173,2299,1098,20231021,Collision,Paid,3310.03,2023-10-21,2023-11-25
174,1005,561,20240809,Windscreen,Open,6592.84,2024-08-09,
175,2889,1860,20221228,Water Damage,Open,17964.79,2022-12-28,
176,781,1610,20230820,Theft,Paid,2578.77,2023-08-20,2023-09-01
177,3101,1604,20231022,Fire,Paid,12966.41,2023-10-22,2023-11-19
178,1735,1177,20251107,Fire,Rejected,6469.13,2025-11-07,
179,4210,1697,20230202,Theft,Approved,7928.16,2023-02-02,2023-02-22
180,621,82,20230731,Water Damage,Approved,4534.9,2023-07-31,2023-08-15
181,1520,2423,20221008,Collision,Paid,4893.4,2022-10-08,2022-11-05
182,515,2575,20220106,Collision,Paid,6175.46,2022-01-06,2022-02-10
183,4155,2566,20250309,Theft,Paid,5216.74,2025-03-09,2025-03-19
184,3938,465,20221001,Windscreen,Open,5782.31,2022-10-01,
185,1153,1674,20240316,Theft,Paid,16600.97,2024-03-16,2024-04-04
186,2957,2451,20230611,Trip Cancellation,Paid,1460.32,2023-06-11,2023-06-22
187,3663,2312,20250129,Storm Damage,Rejected,20083.16,2025-01-29,
188,2489,2065,20260801,Windscreen,Paid,4983.86,2026-08-01,2026-08-15
189,2378,212,20250213,Fire,Paid,2173.91,2025-02-13,2025-03-01
190,1081,1845,20240226,Theft,Paid,6309.66,2024-02-26,2024-03-03
191,425,1104,20220330,Theft,Paid,5926.91,2022-03-30,2022-04-16
192,4026,43,20211219,Fire,Rejected,10093.92,2021-12-19,
193,4042,2360,20250106,Theft,Approved,215.36,2025-01-06,2025-02-13
194,2836,400,20230904,Fire,Paid,3967.28,2023-09-04,2023-10-04
195,1510,1694,20251031,Storm Damage,Approved,22634.63,2025-10-31,2025-12-10
196,1559,1997,20230224,Windscreen,Open,3848.9,2023-02-24,
197,3254,836,20241101,Theft,Paid,4090.77,2024-11-01,2024-11-18
198,4025,1686,20250506,Water Damage,Rejected,6279.13,2025-05-06,
199,3979,570,20220204,Windscreen,Rejected,6294.36,2022-02-04,
200,3497,578,20240426,Fire,Paid,3162.56,2024-04-26,2024-05-17
201,2876,953,20260412,Collision,Approved,1396.43,2026-04-12,2026-05-14
202,382,170,20240126,Flight Delay,Paid,506.5,2024-01-26,2024-03-07
203,728,2113,20260723,Baggage Loss,Rejected,516.9,2026-07-23,
204,4033,923,20210804,Baggage Loss,Paid,1308.74,2021-08-04,2021-09-05
205,2718,317,20260225,Fire,Open,1379.58,2026-02-25,
206,42,535,20250116,Fire,Rejected,1731.5,2025-01-16,
207,463,1730,20220311,Storm Damage,Approved,11448.61,2022-03-11,2022-04-04
208,2974,2672,20241207,Collision,Paid,536.46,2024-12-07,2025-01-02
209,23,1360,20240113,Theft,Open,6621.48,2024-01-13,
210,724,249,20230128,Collision,Approved,6326.82,2023-01-28,2023-03-04
211,2463,2087,20251119,Fire,Paid,5097.5,2025-11-19,2025-12-17
212,3105,1207,20230324,Collision,Open,2033.33,2023-03-24,
213,2919,1372,20230606,Theft,Rejected,1909.07,2023-06-06,
214,996,600,20220504,Theft,Paid,1949.98,2022-05-04,2022-05-07
215,3198,2983,20211209,Windscreen,Approved,5713.49,2021-12-09,2021-12-19
216,1057,2066,20240511,Theft,Paid,627.23,2024-05-11,2024-05-26
217,1449,2286,20250521,Water Damage,Approved,18824.83,2025-05-21,2025-05-24
218,3350,2998,20220508,Flight Delay,Paid,2220.19,2022-05-08,2022-05-26
219,2910,1031,20240530,Windscreen,Rejected,6408.77,2024-05-30,
220,3808,2680,20240201,Fire,Open,19313.2,2024-02-01,
221,2945,786,20240320,Fire,Open,1980.54,2024-03-20,
222,2547,1432,20211228,Fire,Approved,4296.43,2021-12-28,2022-01-08
223,428,2552,20220330,Water Damage,Paid,22081.29,2022-03-30,2022-05-05
224,1647,1892,20260427,Storm Damage,Approved,5385.01,2026-04-27,2026-06-03
225,1186,1070,20250305,Water Damage,Approved,926.03,2025-03-05,2025-04-03
226,1090,1089,20220520,Fire,Open,7303.04,2022-05-20,
227,4374,1363,20250813,Collision,Open,6842.49,2025-08-13,
228,1765,2414,20230623,Baggage Loss,Rejected,1658.71,2023-06-23,
229,4002,2266,20231109,Fire,Paid,6804.54,2023-11-09,2023-12-06
230,2826,1496,20250424,Collision,Paid,1136.0,2025-04-24,2025-05-14
231,3563,1030,20240111,Windscreen,Paid,5417.43,2024-01-11,2024-02-04
232,2258,2051,20220430,Windscreen,Rejected,2807.07,2022-04-30,
233,2584,1870,20261023,Collision,Paid,4298.34,2026-10-23,2026-11-01
234,2213,2897,20230716,Water Damage,Approved,560.03,2023-07-16,2023-07-30
235,873,1572,20260801,Theft,Open,3981.4,2026-08-01,
236,3240,1657,20250901,Theft,Paid,21088.43,2025-09-01,2025-09-11
237,1256,38,20211226,Theft,Open,2082.79,2021-12-26,
238,112,734,20230605,Theft,Open,2440.05,2023-06-05,
239,2890,1676,20250808,Theft,Paid,3460.0,2025-08-08,2025-08-07
240,793,82,20240125,Fire,Paid,1228.45,2024-01-25,2024-03-05
241,4225,786,20210906,Windscreen,Paid,3377.66,2021-09-06,2021-10-15
242,4288,206,20221226,Windscreen,Open,7630.61,2022-12-26,
243,4112,254,20261205,Windscreen,Paid,7193.45,2026-12-05,2027-01-05
244,1658,2953,20260924,Water Damage,Approved,6600.15,2026-09-24,2026-10-31
245,71,409,20250226,Storm Damage,Rejected,2482.14,2025-02-26,
246,4171,1084,20250830,Fire,Open,6351.36,2025-08-30,
247,1922,2132,20220401,Fire,Approved,6064.66,2022-04-01,2022-05-05
248,4346,1319,20220514,Collision,Paid,7329.8,2022-05-14,2022-06-01
249,4333,1726,20250526,Fire,Rejected,19585.09,2025-05-26,
250,3826,773,20210327,Theft,Paid,7787.05,2021-03-27,2021-04-29
251,1319,691,20211002,Water Damage,Open,18351.33,2021-10-02,
252,1728,426,20240812,Storm Damage,Approved,17019.75,2024-08-12,2024-08-19
253,3818,1433,20250103,Theft,Rejected,2678.19,2025-01-03,
254,1416,606,20230213,Theft,Paid,5074.88,2023-02-13,2023-02-28
255,762,619,20260129,Windscreen,Paid,7014.4,2026-01-29,2026-02-17
256,2497,234,20221003,Theft,Approved,22817.73,2022-10-03,2022-10-24
257,4208,497,20241227,Water Damage,Paid,7360.63,2024-12-27,2025-01-30
258,3124,76,20220114,Fire,Open,7393.07,2022-01-14,
259,2553,2200,20230622,Fire,Paid,4552.83,2023-06-22,2023-07-21
260,443,580,20240914,Theft,Open,3272.84,2024-09-14,
261,2758,1013,20231202,Collision,Open,1905.86,2023-12-02,
262,4453,1931,20250217,Water Damage,Rejected,4898.13,2025-02-17,
263,632,1339,20230110,Theft,Open,2673.76,2023-01-10,
264,2326,1683,20211129,Water Damage,Rejected,22812.57,2021-11-29,
265,3939,995,20241208,Fire,Approved,15062.69,2024-12-08,2025-01-11
266,3324,2532,20260214,Theft,Rejected,7582.39,2026-02-14,
267,3128,179,20231110,Theft,Rejected,2665.33,2023-11-10,
268,3152,2160,20211225,Medical,Open,1127.75,2021-12-25,
269,1607,1457,20240408,Water Damage,Paid,4386.17,2024-04-08,2024-05-05
270,1315,1237,20260716,Collision,Open,4941.12,2026-07-16,
271,3628,2999,20230908,Windscreen,Paid,2466.75,2023-09-08,2023-10-13
272,3631,2274,20260318,Theft,Paid,7090.17,2026-03-18,2026-04-24
273,3891,1391,20241206,Theft,Paid,2967.72,2024-12-06,2024-12-15
274,4104,1450,20250308,Water Damage,Paid,4777.08,2025-03-08,2025-03-27
275,2296,2918,20260205,Collision,Paid,1397.16,2026-02-05,2026-02-18
276,2254,1756,20260131,Fire,Approved,3562.15,2026-01-31,2026-03-17
277,3580,961,20220321,Fire,Paid,4939.77,2022-03-21,2022-04-06
278,2911,1432,20250927,Collision,Paid,4997.25,2025-09-27,2025-10-17
279,3149,279,20240212,Windscreen,Rejected,826.89,2024-02-12,
280,3568,832,20230126,Windscreen,Rejected,4337.48,2023-01-26,
281,3993,1574,20221001,Fire,Approved,4058.4,2022-10-01,2022-11-11
282,1505,864,20250214,Fire,Rejected,13981.84,2025-02-14,
283,1683,2363,20220924,Fire,Paid,12792.48,2022-09-24,2022-10-06
284,430,1031,20260811,Storm Damage,Rejected,8854.33,2026-08-11,
285,2591,2082,20260422,Windscreen,Paid,505.82,2026-04-22,2026-05-31
286,163,2044,20240531,Theft,Approved,5613.28,2024-05-31,2024-06-25
287,2090,436,20230115,Collision,Rejected,6718.15,2023-01-15,
288,2434,2228,20251223,Fire,Paid,1483.81,2025-12-23,2026-01-23
289,1283,2394,20270319,Fire,Rejected,6326.09,2027-03-19,
290,2650,1774,20240611,Theft,Paid,2823.35,2024-06-11,2024-06-22
291,139,871,20250115,Collision,Open,5364.3,2025-01-15,
292,169,2343,20220223,Water Damage,Paid,9414.54,2022-02-23,2022-03-28
293,3686,1604,20240331,Windscreen,Approved,7448.27,2024-03-31,2024-05-09
294,1611,801,20230226,Storm Damage,Paid,14477.78,2023-02-26,2023-03-01
295,576,1448,20231102,Fire,Paid,7740.82,2023-11-02,2023-12-02
296,2344,668,20221221,Fire,Approved,4257.26,2022-12-21,2023-01-21
297,3450,269,20230517,Theft,Rejected,22364.34,2023-05-17,
298,960,2190,20241217,Fire,Approved,1611.94,2024-12-17,2025-01-14
299,2791,1456,20220924,Collision,Approved,4949.29,2022-09-24,2022-10-16
300,388,2981,20240330,Collision,Rejected,3780.09,2024-03-30,
301,235,2687,20241216,Fire,Paid,12563.41,2024-12-16,2025-01-27
302,2386,1391,20230415,Fire,Paid,7249.9,2023-04-15,2023-05-13
303,2425,1360,20221229,Collision,Paid,5494.88,2022-12-29,2023-01-17
304,2855,2130,20210814,Theft,Paid,9650.9,2021-08-14,2021-09-25
305,3255,2397,20210508,Windscreen,Open,4571.15,2021-05-08,
306,4387,1658,20220510,Water Damage,Approved,20225.69,2022-05-10,2022-06-18
307,2316,319,20211024,Fire,Open,464.78,2021-10-24,
308,1440,1183,20220226,Theft,Open,7809.28,2022-02-26,
309,3565,235,20240718,Baggage Loss,Paid,2640.53,2024-07-18,2024-08-21
310,1211,1330,20240410,Storm Damage,Approved,15597.92,2024-04-10,2024-04-25
311,1970,5,20240703,Theft,Open,13541.3,2024-07-03,
312,356,1007,20251024,Theft,Paid,5837.16,2025-10-24,2025-10-27
313,117,6,20251103,Water Damage,Paid,2147.56,2025-11-03,2025-11-29
314,4328,1792,20240429,Fire,Rejected,22019.78,2024-04-29,
315,3745,11,20230902,Windscreen,Approved,3296.94,2023-09-02,2023-09-21
316,3124,76,20220216,Fire,Paid,5520.93,2022-02-16,2022-03-07
317,1837,2850,20230818,Fire,Paid,2818.82,2023-08-18,2023-09-01
318,777,706,20240906,Fire,Open,3009.26,2024-09-06,
319,706,1253,20220121,Water Damage,Open,22209.65,2022-01-21,
320,1119,1830,20250624,Collision,Approved,3521.67,2025-06-24,2025-07-31
321,2465,1656,20211210,Fire,Approved,2774.24,2021-12-10,2022-01-21
322,3207,1940,20221021,Fire,Approved,2429.49,2022-10-21,2022-11-25
323,2958,2431,20230210,Collision,Paid,3902.78,2023-02-10,2023-02-24
324,1253,1133,20241216,Theft,Approved,8053.47,2024-12-16,2025-01-08
325,4292,19,20260302,Collision,Paid,3295.24,2026-03-02,2026-04-03
326,3308,761,20240119,Windscreen,Approved,4506.5,2024-01-19,2024-02-12
327,2487,2964,20250719,Windscreen,Paid,6922.26,2025-07-19,2025-08-25
328,2744,834,20220610,Theft,Rejected,7444.92,2022-06-10,
329,1885,687,20220823,Theft,Open,2195.17,2022-08-23,
330,1108,1114,20220524,Windscreen,Open,3521.14,2022-05-24,
331,1589,2884,20210628,Windscreen,Paid,6569.96,2021-06-28,2021-07-06
332,3400,2397,20220820,Collision,Paid,4410.69,2022-08-20,2022-09-17
333,67,227,20240112,Theft,Paid,406.8,2024-01-12,2024-02-21
334,525,1039,20261207,Fire,Paid,10645.85,2026-12-07,2026-12-25
335,209,1714,20260427,Collision,Paid,3317.86,2026-04-27,2026-05-26
336,185,183,20260208,Water Damage,Approved,21572.7,2026-02-08,2026-03-19
337,3838,1615,20251005,Water Damage,Paid,12953.72,2025-10-05,2025-11-11
338,3159,2769,20250707,Water Damage,Open,16400.13,2025-07-07,
339,2127,1195,20231107,Windscreen,Paid,6837.33,2023-11-07,2023-11-19
340,446,2851,20220211,Theft,Rejected,4113.25,2022-02-11,
341,2208,2585,20230508,Fire,Approved,3551.17,2023-05-08,2023-05-11
342,2124,22,20220217,Fire,Paid,7345.7,2022-02-17,2022-03-31
343,776,1792,20230710,Collision,Paid,1382.92,2023-07-10,2023-07-14
344,1948,844,20210818,Medical,Paid,655.41,2021-08-18,2021-08-23
345,1789,1331,20260522,Collision,Paid,3838.65,2026-05-22,2026-06-20
346,2761,2644,20251002,Fire,Open,6410.02,2025-10-02,
347,4675,2712,20211003,Collision,Approved,3253.54,2021-10-03,2021-11-12
348,206,692,20240602,Fire,Rejected,6269.64,2024-06-02,
349,1678,1298,20250718,Baggage Loss,Paid,2804.79,2025-07-18,2025-08-28
350,2804,2684,20220914,Theft,Paid,1238.27,2022-09-14,2022-09-22
351,2261,272,20240802,Theft,Paid,5188.65,2024-08-02,2024-08-17
352,3842,392,20230628,Flight Delay,Approved,265.44,2023-06-28,2023-07-11
353,2950,194,20230806,Fire,Rejected,7282.78,2023-08-06,
354,734,834,20231127,Theft,Paid,1858.29,2023-11-27,2024-01-07
355,321,2332,20210702,Fire,Open,19131.49,2021-07-02,
356,2877,1624,20260515,Storm Damage,Approved,11605.02,2026-05-15,2026-05-25
357,123,1909,20221222,Fire,Paid,13549.81,2022-12-22,2023-01-19
358,2627,2387,20240623,Theft,Approved,14426.6,2024-06-23,2024-07-20
359,4225,786,20210926,Theft,Paid,942.27,2021-09-26,2021-10-28
360,2578,1888,20210809,Windscreen,Paid,6859.39,2021-08-09,2021-08-19
361,1743,2077,20250809,Theft,Approved,1003.84,2025-08-09,2025-09-05
362,2881,2969,20211208,Water Damage,Paid,11395.43,2021-12-08,2021-12-12
363,2056,1788,20220208,Storm Damage,Paid,17413.98,2022-02-08,2022-02-28
364,2447,1493,20230308,Theft,Approved,4954.42,2023-03-08,2023-03-22
365,4231,555,20240622,Theft,Rejected,7635.67,2024-06-22,
366,1732,2947,20260627,Theft,Approved,6535.32,2026-06-27,2026-07-02
367,4321,2719,20211024,Theft,Approved,7119.47,2021-10-24,2021-11-22
368,4066,976,20230323,Collision,Paid,730.6,2023-03-23,2023-05-07
369,875,135,20250516,Medical,Approved,824.52,2025-05-16,2025-06-24
370,315,1354,20261028,Windscreen,Open,1207.67,2026-10-28,
371,459,100,20231218,Theft,Rejected,6030.17,2023-12-18,
372,85,1421,20250929,Storm Damage,Open,9215.21,2025-09-29,
